word,response,cost,win
Sand,Plague,20,0
Canyon,Nuclear Bomb,16,1
Tank,Laser,14,1
Amulet,Entropy,45,1
Fog,Whale,17,1
Terraformer,Robots,10,0
Vortex,Robots,10,0
Asteroid,Earth's Core,25,1
Hammer,Vaccine,9,0
Eclipse,Volcano,16,0
Cryostasis,Explosion,15,1
Comet,Earth,17,1
Sanctum,Star,18,1
Rune,Volcano,16,1
Mind Gate,Explosion,15,1
Thunderstorm,Shield,4,0
Ash,Laser,14,1
Prism,Wind,13,0
Eternium,Flame,5,0
Hydra,Light,7,0
Void Crystal,Sound,8,0
Mana Core,Rebirth,20,1
Exosuit,Thunder,12,
Statue,Storm,9,
Book,Shadow,7,
Hammer,Gun,5,1
Obelisk,Gamma-Ray Burst,22,
Wormhole,Magma,14,
Crown,Stone,11,
Pandemic,Sound,8,
Cryostasis,Karma,12,
Firefly,Laser,14,
Firefly,Apocalyptic Meteor,24,
Synthetics,Thunder,12,
Pandemic,Magma,14,
Neural Net,Rebirth,20,
Command Deck,Sandstorm,13,
Machine,Sound,8,
Clock,Water,3,
Bell,Supermassive Black Hole,35,
Pegasus,Twig,3,
Mana Core,Logic,10,
Space Station,Explosion,15,
Ghost,Laser,14,
Gravity Well,Peace,14,
Laser,Virus,7,
Vortex,Peace,14,
Soulstone,Sword,4,
Galaxy,Flame,5,
Antigrav,Pebble,1,
Moonbase,Entropy,45,
Control Panel,Star,18,
Jungle,Earth's Core,25,
Knight,Ice,13,
Command Deck,Disease,6,
Compass,Rope,5,
Hammer,Shield,4,1
Robot,Karma,12,
Singularity,Apocalyptic Meteor,24,
Fog,Supernova,19,
Drone,Disease,6,
Portal,Plague,20,
Ghost,Rebirth,20,
Pegasus,Gun,5,
Void Crystal,Rebirth,20,
Android,Neutron Star,26,
Plasma,Whale,17,
Rune,Fate,8,
Solar Flare,Time,8,
Canyon,Antimatter,19,
Spaceship,Echo,11,
Neutrino,Rebirth,20,
Book,Twig,3,
Orbital,Leaf,2,
Exosuit,Sound,8,
Staff,Entropy,45,
Planet,Thunder,12,
Castle,Whale,17,
Void,Plague,20,
Gravity Well,Rock,2,
Lantern,Gun,5,
Flood,Entropy,45,1
Forest,Star,18,
Terraformer,Light,7,
Mountain,Bacteria,6,
Lighthouse,Volcano,16,
Starlight,Bacteria,6,
Antigrav,Peace,14,
Thunderstorm,Whale,17,
Starbase,Gamma-Ray Burst,22,
Mirror,Leaf,2,
Bridge,Leaf,2,
Galaxy,Sandstorm,13,
Cybernetic,Supermassive Black Hole,35,
Neural Net,Paper,2,
Titan,Shadow,7,
Cave,Peace,14,
Time Crystal,Karma,12,
Portal,Gun,5,
Soulstone,Virus,7,
Teleport,Whale,17,
Shrine,Entropy,45,
Helmet,Gravity,10,
Relic,Apocalyptic Meteor,24,
Hydra,Bacteria,6,
Hammer,Explosion,15,1
Rune,Sound,8,
Wizard,Wind,13,
Serpent,Rock,2,
Time Rift,Stone,11,
Hydra,Sword,4,
Time Crystal,Cure,6,
Starbase,War,15,
Obelisk,Virus,7,
Relic,Sword,4,
Fusion Reactor,Gamma-Ray Burst,22,
Eternium,Nuclear Bomb,16,
Bell,Tsunami,18,
Relic,Bacteria,6,
Starlight,Rock,2,
Golem,Apocalyptic Meteor,24,
Quantum Core,Rock,2,
Quantum Core,Thunder,12,
Elixir,Karma,12,
Mind Gate,Sandstorm,13,
Lion,Sword,4,1
Golem,War,15,
Golem,Stone,11,
Storm,Rebirth,20,
Soulstone,Cure,6,
Seer,Echo,11,
Storm,Ice,13,
Dragon,Flame,5,
Terraformer,Flame,5,
Lantern,Laser,14,
Hologram,Entropy,45,
Space Station,Storm,9,
Laser,Nuclear Bomb,16,
Fountain,Feather,1,
Synthetics,Gun,5,
Space Station,Apocalyptic Meteor,24,
Talisman,Echo,11,
Machine,Paper,2,
Wormhole,Leaf,2,
Mana Core,Karma,12,
Void,Wind,13,
Comet,Rebirth,20,
Cave,Shield,4,
Cave,Earthquake,9,
Wormhole,Light,7,
Candle,Wind,13,1
Cosmic Seed,Gun,5,
Dragon,Cure,6,
Throne,Plague,20,
Flood,Tectonic Shift,21,1
Cybernetic,Tsunami,18,
Relic,Echo,11,
Candle,Virus,7,0
Crown,Cure,6,
Elixir,Paper,2,
Antigrav,Flame,5,
Cryostasis,Nuclear Bomb,16,
Wand,Cure,6,
Firefly,Plague,20,
Neutrino,Supermassive Black Hole,35,
Cauldron,Disease,6,
Beacon,Gravity,10,
Time Rift,Whale,17,
Spear,Enlightenment,15,
Torch,Gamma-Ray Burst,22,
Lion,Virus,7,0
Sanctum,Paper,2,
Sand,Water,3,
Antigrav,Rope,5,
Fusion Reactor,Shadow,7,
Quantum Core,Shadow,7,
Mirror,Cure,6,
Clock,Supernova,19,
Temple,Magma,14,
Shrine,Wind,13,
Helmet,Leaf,2,
Scroll,Cure,6,
Eclipse,Sound,8,
Exosuit,Cure,6,
Void Crystal,Sandstorm,13,
Event Horizon,Volcano,16,
Griffin,Gun,5,
Scroll,Stone,11,
Jungle,Gamma-Ray Burst,22,
Temple,Vaccine,9,
Griffin,Coal,1,
Nebula,Shield,4,
Sanctum,Leaf,2,
Alien,Peace,14,
Staff,Light,7,
Griffin,Laser,14,
Exosuit,Supermassive Black Hole,35,
Probe,Explosion,15,
Lighthouse,Rope,5,
Seer,Paper,2,
Nebula,Antimatter,19,
Dragon,Earth's Core,25,
Dark Matter,Flame,5,
Seer,Time,8,
Starbase,Karma,12,
Griffin,Earthquake,9,
Storm,Sound,8,
Prism,Supernova,19,
Constellation,Storm,9,
Time Rift,Vaccine,9,
Phoenix,Time,8,
Orbital,Water,3,
Staff,Earth,17,
Crystal,Tectonic Shift,21,
Crystal,Laser,14,
Cosmic Seed,Coal,1,
Fountain,Supermassive Black Hole,35,
Time Rift,Star,18,
Flood,Sword,4,0
Pegasus,Logic,10,
Witch,Tsunami,18,
Fog,Tectonic Shift,21,
Wizard,Logic,10,
Hologram,Flame,5,
Staff,Shadow,7,
Moonbase,Earthquake,9,
Knight,Cure,6,
Lantern,Stone,11,
Alien,Sandstorm,13,
Dreamscape,Ice,13,
Quantum Core,Flame,5,
River,Earthquake,9,
Machine,Leaf,2,
Control Panel,Wind,13,
Phoenix,Sandstorm,13,
Mana Core,Disease,6,
Starbase,Bacteria,6,
Phoenix,Star,18,
Bridge,Sword,4,
Forest,Pebble,1,
Starlight,Leaf,2,
Serpent,Disease,6,
Neural Net,Sword,4,
Meteor,Neutron Star,26,
Singularity,Karma,12,
Terraformer,Coal,1,
Serpent,Gamma-Ray Burst,22,
Statue,Robots,10,
Clock,Sandstorm,13,
Event Horizon,Laser,14,
Bell,Whale,17,
Book,Rope,5,
Astral Gate,Gamma-Ray Burst,22,
Fusion Reactor,Supermassive Black Hole,35,
Wormhole,Moon,17,
Statue,Light,7,
Galaxy,Storm,9,
Crystal,Earth,17,
Constellation,Earthquake,9,
Spear,Gamma-Ray Burst,22,
Solar Flare,Water,3,
Wizard,Tectonic Shift,21,
Warp Drive,Water,3,
Comet,War,15,
Warp Drive,Moon,17,
Laser,Rebirth,20,
Obelisk,Antimatter,19,
Android,Sandstorm,13,
Blaster,Wind,13,
Clone,Rebirth,20,
Hyperdrive,Thunder,12,
Colony,Echo,11,
Energy Cell,Feather,1,
Galaxy,Gravity,10,
Moonbase,Sandstorm,13,
Dark Matter,Peace,14,
Scroll,Coal,1,
Mech,Rebirth,20,
Helmet,Magma,14,
Probe,Wind,13,
Gravity Well,Gravity,10,
Cosmic Seed,Time,8,
Command Deck,Supernova,19,
Knight,Thunder,12,
Power Core,Moon,17,
Hyperdrive,Explosion,15,
Colony,Whale,17,
Event Horizon,Peace,14,
Phoenix,Tectonic Shift,21,
Pandemic,Cure,6,
Constellation,Flame,5,
Sanctum,Rebirth,20,
Thunderstorm,Thunder,12,
Mirror,Light,7,
Celestial,Virus,7,
Griffin,Enlightenment,15,
Chimera,Feather,1,
Command Deck,Virus,7,
Teleport,Earth,17,
Planet,Earth's Core,25,
Neural Net,Sandstorm,13,
Thunderstorm,Laser,14,
Android,Rebirth,20,
Comet,Earth's Core,25,
Plasma,Fate,8,
Torch,Rope,5,
Hologram,Paper,2,
Cryostasis,Storm,9,
Starlight,Shield,4,
Neutrino,Nuclear Bomb,16,
Portal,Entropy,45,
Space Station,Coal,1,
Blaster,Sound,8,
Seer,Ice,13,
Nanobot,Cure,6,
Mech,Robots,10,
Solar Flare,Peace,14,
Titan,Sound,8,
Obelisk,Leaf,2,
Alien,Disease,6,
Fusion Reactor,Coal,1,
Knight,Apocalyptic Meteor,24,
Vortex,Virus,7,
Smoke,Echo,11,
Ghost,Shadow,7,
Ash,Virus,7,
Astral Gate,Earth's Core,25,
Event Horizon,Feather,1,
Crown,Enlightenment,15,
Vortex,Nuclear Bomb,16,
Dreamscape,Bacteria,6,
Dreamscape,Gravity,10,
Mountain,Rock,2,
Staff,Sword,4,
Ai,Rock,2,
Wizard,Coal,1,
Statue,Nuclear Bomb,16,
Titan,Moon,17,
Sanctum,Wind,13,
Elixir,Shield,4,
Jungle,Storm,9,
Colony,War,15,
Orbital,Thunder,12,
Elixir,Tsunami,18,
Chronosphere,Echo,11,
Talisman,Laser,14,
Drone,Coal,1,
Asteroid,Plague,20,
Alien,Plague,20,
Mountain,Peace,14,
Ash,Apocalyptic Meteor,24,
Dreamscape,Nuclear Bomb,16,
Firefly,Wind,13,
Exosuit,Logic,10,
Clone,Thunder,12,
Flood,Logic,10,1
Android,Water,3,
Blaster,Earth,17,
Candle,Supernova,19,1
Starship,Sandstorm,13,
Clock,Robots,10,
Dark Matter,Laser,14,
Torch,Paper,2,
Lantern,Pebble,1,
Fountain,Sandstorm,13,
Planet,Tsunami,18,
Celestial,Gamma-Ray Burst,22,
Canyon,Bacteria,6,
Jungle,Karma,12,
Terraformer,Thunder,12,
Bell,Star,18,
Clock,Time,8,
Relic,Whale,17,
Drone,Fate,8,
Storm,Echo,11,
Sand,Laser,14,
Throne,Enlightenment,15,
Control Panel,Human Spirit,23,
Lighthouse,Water,3,
Wand,Explosion,15,
Plasma,Vaccine,9,
